Project Name,Queue Position,"Interconnection Request
Receive Date",Queue Date,Application Status,"Study
Process",Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,"Proposed
On-line Date
(as filed with IR)","Current
On-line Date",Suspension Status,Feasibility Study or Supplemental Review,"System Impact Study or 
Phase I Cluster Study","Facilities Study (FAS) or 
Phase II Cluster Study","Optional Study
(OS)","Interconnection Agreement 
Status",status,"Actual
On-line Date",Project Name - Confidential,Withdrawn Date,Reason for Withdrawal
NORTH JOHNSON ENERGY CENTER,1047,2014-04-30 00:00:00,2014-04-30 07:00:00,ACTIVE,C07,Storage,,,Battery,,,50,,,50,Full Capacity,,,Group A,SAN DIEGO,CA,SDGE,SDGE,El Cajon Substation 69 kV,2019-11-01 07:00:00,2026-04-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
ESCONDIDO ENERGY CENTER 2,1048,2014-04-30 00:00:00,2014-04-30 07:00:00,ACTIVE,C07,Storage,,,Battery,,,33,,,33,Full Capacity,,,Group A,SAN DIEGO,CA,SDGE,SDGE,Escondido Substation 69 kV,2019-11-01 07:00:00,2030-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
WHITE WING RANCH SOLAR,1062,2014-04-30 00:00:00,2014-04-30 07:00:00,ACTIVE,C07,Photovoltaic,Storage,,Solar,Battery,,200,200,,200,Energy Only,,Off-Peak Deliverability,,YUMA,AZ,SDGE,SDGE,Hoodoo Wash Switchyard 500 kV,2018-12-31 08:00:00,2026-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
ARES NEVADA ,1064,2014-04-30 00:00:00,2014-04-30 07:00:00,ACTIVE,C07,Storage,,,Gravity via Rail,,,44,,,44,Energy Only,,,,NYE,NV,GLW,,Gamebird Substation 230 kV,2017-01-01 08:00:00,2027-01-08 08:00:00,,,Complete,Complete,,Executed,active,,,,
GASKELL WEST,1074,2014-04-30 00:00:00,2014-04-30 07:00:00,ACTIVE,C07,Photovoltaic,Storage,,Solar,Battery,,125,61.62,,125,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Whirlwind Substation 220 kV,2016-06-30 07:00:00,2026-12-02 08:00:00,,,Complete,Complete,,Executed,active,,,,
WILLOW SPRINGS SOLAR 3,1076,2014-04-30 00:00:00,2014-04-30 07:00:00,ACTIVE,C07,Storage,,,Battery,,,50,,,50,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Whirlwind Substation 230 kV,2017-06-30 07:00:00,2026-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
ALTAMONT MIDWAY LTD,1096,2015-02-24 00:00:00,2015-04-13 07:00:00,ACTIVE,FT,Wind Turbine,,,Wind Turbine,,,5,,,5,Energy Only,,Off-Peak Deliverability,,ALAMEDA,CA,PGAE,Northern,Altamont Midway 230 kV ,2015-08-31 07:00:00,2027-04-28 07:00:00,,,,,,Executed,active,,,,
FOUNTAIN WIND,1106,2015-04-30 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Wind Turbine,,,Wind Turbine,,,206,,,200,Full Capacity,,Off-Peak Deliverability,,SHASTA,CA,PGAE,Northern,Pit 1-Cottonwood 230 kV Line ,2020-10-15 07:00:00,2027-09-15 07:00:00,,,Complete,Complete,,Executed,active,,,,
LITTLE BEAR 3,1127,2015-04-28 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,20.44,20,,20,Full Capacity,,Off-Peak Deliverability,,FRESNO,CA,PGAE,,Mendota Substation 115kV,2020-08-01 07:00:00,2029-02-02 08:00:00,,,Complete,Complete,,Executed,active,,,,
LITTLE BEAR 4,1128,2015-04-28 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,103.09,100,,100,Full Capacity,,Off-Peak Deliverability,,FRESNO,CA,PGAE,Fresno,Mendota Substation 115kV,2020-12-01 08:00:00,2029-02-02 08:00:00,,,Complete,Complete,,Executed,active,,,,
LUNA VALLEY SOLAR,1129,2015-04-30 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,204,168.5,,200,Partial Capacity,84.3,Off-Peak Deliverability,,FRESNO,CA,PGAE,Fresno,Tranquility 230 kV,2018-12-31 08:00:00,2028-12-29 08:00:00,,,Complete,Complete,,Executed,active,,,,
SCARLET,1135,2015-04-29 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,400,400,,400,Full Capacity,,Off-Peak Deliverability,,FRESNO,CA,PGAE,Fresno,Tranquility 230 kV,2018-12-31 08:00:00,2025-12-23 08:00:00,,,Complete,Complete,,Executed,active,,,,
LAKE ALPAUGH BATTERY STORAGE,1143,2015-04-29 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Storage,,,Battery,,,10,,,10,Full Capacity,,,,TULARE,CA,PGAE,Kern,Corcoran-Olive 115 kV Line,2017-12-31 08:00:00,2025-11-15 08:00:00,,,Complete,Complete,,Executed,active,,,,
BIG ROCK SOLAR FARM,1166,2015-04-30 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Storage,,,Battery,,,200,,,200,Partial Capacity,50,Off-Peak Deliverability,Group D,IMPERIAL,CA,SDGE,SDGE,Imperial Valley Substation 230 kV,2020-06-01 07:00:00,2025-04-30 07:00:00,,,Complete,Complete,,Executed,active,,,,
FALLBROOK ENERGY STORAGE,1169,2015-04-30 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Storage,,,Battery,,,69.6,,,69.6,Full Capacity,,,,SAN DIEGO,CA,SDGE,SDGE,Avocado Substation 69 kV,2020-02-01 08:00:00,2026-03-06 08:00:00,,,Complete,Complete,,Executed,active,,,,
LECONTE ENERGY STORAGE,1175,2015-04-29 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Storage,,,Battery,,,125,,,125,Partial Capacity,32,,Group B,IMPERIAL,CA,SDGE,SDGE,Imperial Valley Substation 230 kV,2018-09-01 07:00:00,2026-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
ARATINA SOLAR CENTER 1,1204,2015-04-30 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,200,200,,200,Partial Capacity,19,Off-Peak Deliverability,Group A,SAN BERNARDINO,CA,SCE,NOL,Kramer Substation 230kV,2020-06-01 07:00:00,2026-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
SIENNA SOLAR FARM,1207,2015-04-30 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,200,200,,200,Partial Capacity,93,Off-Peak Deliverability,Group D,SAN BERNARDINO,CA,SCE,NOL,Calcite Substation 230kV,2020-06-01 07:00:00,2027-01-28 08:00:00,,,Complete,Complete,,Executed,active,,,,
ANTELOPE SOLAR 2,1208,2015-04-30 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Storage,Photovoltaic,,Battery,Solar,,358.88,423,,650,Full Capacity,,Off-Peak Deliverability,,LOS ANGELES,CA,SCE,Northern,Antelope Substation 220kV,2018-12-31 08:00:00,2025-11-27 08:00:00,,,Complete,Complete,,Executed,active,,,,
GOLDEN FIELDS SOLAR,1212,2015-04-30 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Storage,Storage,,Battery,Battery,,52,48,,100,Full Capacity,,Off-Peak Deliverability,Group 3,KERN,CA,SCE,Northern,Whirlwind Substation 220kV ,2018-06-30 07:00:00,2026-12-01 08:00:00,,,Complete,Complete,,Executed,active,,,,
WILLOW SPRINGS SOLAR 4,1217,2015-04-28 00:00:00,2015-04-30 07:00:00,ACTIVE,C08,Storage,,,Battery,,,75,,,75,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,2019-12-31 08:00:00,2026-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
AGUA CALIENTE SOLAR 2,1222,2016-03-01 00:00:00,2016-03-08 08:00:00,ACTIVE,ISP,Photovoltaic,,,Solar,,,20,,,20,Energy Only,,Off-Peak Energy Only,,MARICOPA,AZ,SDGE,SDGE,Hoodoo Wash Switchyard 500 kV,2016-12-01 08:00:00,2016-12-01 08:00:00,,,Complete,Complete,,In Progress,active,,,,
DAYLIGHT,1223,2016-04-22 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,310.707,300,,300,Partial Capacity,60,Off-Peak Deliverability,Group B,KINGS,CA,PGAE,Fresno,Mustang 230 kV,2020-12-31 08:00:00,2028-01-19 08:00:00,,,Complete,Complete,,Executed,active,,,,
PLUOT,1242,2016-05-03 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,254,225,,246.4,Partial Capacity,59,Off-Peak Deliverability,Group B,KINGS,CA,PGAE,Fresno,Gates 230 kV,2023-04-05 07:00:00,2026-06-30 07:00:00,,,Complete,Complete,,Executed,active,,,,
POMEGRANATE,1243,2016-05-03 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,254,225,,249.7,Full Capacity,,Off-Peak Deliverability,Group A,KINGS,CA,PGAE,Fresno,Gates 230 kV,2022-04-06 07:00:00,2025-12-22 08:00:00,,,Complete,Complete,,Executed,active,,,,
KYAN SOLAR,1260,2016-04-27 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Photovoltaic,,,Solar,,,102,,,100,Energy Only,,Off-Peak Deliverability,Group B,KERN,CA,PGAE,Kern,Midway-Wheeler Ridge #2 230 kV Line,2020-10-14 07:00:00,2027-03-02 08:00:00,,,Complete,Complete,,Executed,active,,,,
CORBY,1270,2016-04-27 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Storage,,,Battery,,,313.5,,,300,Full Capacity,,,Group 3,SOLANO,CA,PGAE,Northern,Vaca-Dixon 230 kV,2020-12-01 08:00:00,2027-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
MULQUEENEY RANCH WIND,1277,2016-05-02 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Wind Turbine,,,Wind Turbine,,,114,,,20,Full Capacity,,Off-Peak Deliverability,,ALAMEDA,CA,PGAE,Northern,Tesla 230 kV,2020-03-01 08:00:00,2026-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
DAGGETT SOLAR 3,1314,2016-04-28 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,313.88,208,,300,Full Capacity,,Off-Peak Deliverability,,SAN BERNARDINO,CA,SCE,NOL,Kramer Substation 230kV,2020-06-30 07:00:00,2023-08-06 07:00:00,,,Complete,Complete,,Executed,active,,,,
SOLAR STAR 3,1322,2016-04-25 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Storage,Photovoltaic,,Battery,Solar,,24.95,25,,24,Full Capacity,,Off-Peak Deliverability,Group 3,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,2021-12-31 08:00:00,2026-08-12 07:00:00,,,Complete,Complete,,Executed,active,,,,
SOLAR STAR 4,1323,2016-04-25 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Storage,Photovoltaic,,Battery,Solar,,24.95,25.05,,24,Full Capacity,,Off-Peak Deliverability,Group 3,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,2021-12-31 08:00:00,2026-08-12 07:00:00,,,Complete,Complete,,Executed,active,,,,
PASTORIA SOLAR,1335,2016-05-02 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,106.875,80,,105.2,Partial Capacity,77,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Pastoria Substation 230kV,2019-09-01 07:00:00,2026-12-01 08:00:00,,,Complete,Complete,,Executed,active,,,,
TAHOE,1339,2016-04-29 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Storage,,,Battery,,,300,,,300,Partial Capacity,93,Off-Peak Deliverability,,CLARK,NV,SCE,EOP,SCE owned Eldorado Bus 230kV,2019-07-31 07:00:00,2026-05-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
ROCCASECCA BESS,1347,2016-05-02 00:00:00,2016-05-02 07:00:00,ACTIVE,C09,Storage,,,Battery,,,303,,,303,Partial Capacity,41.78,Off-Peak Deliverability,,CLARK,NV,GLW,,Sloan Canyon Switching Station 230kV,2019-07-31 07:00:00,2026-10-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
ARAMIS POWER PLANT,1349,2017-04-28 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,101.4,101.3,,100,Full Capacity,,Off-Peak Deliverability,Group 2,ALAMEDA,CA,PGAE,Northern,Cayetano 230 kV,2020-12-31 08:00:00,2026-07-31 07:00:00,,,Complete,Complete,,Executed,active,,,,
SAND HILL C,1363,2017-04-29 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Wind Turbine,,,Wind Turbine,,,84.25,,,80.8,Full Capacity,,Off-Peak Deliverability,,ALAMEDA,CA,PGAE,Northern,Delta Switching Yard-Tesla 230 kV Line,2019-12-31 08:00:00,2027-04-28 07:00:00,,,Complete,Complete,,Executed,active,,,,
GONZAGA WIND FARM,1378,2017-04-27 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Wind Turbine,,,Wind Turbine,,,80,,,76.35,Partial Capacity,66.5,Off-Peak Deliverability,Group 2,MERCED,CA,PGAE,Fresno,Los Banos 70 kV,2020-10-09 07:00:00,2026-03-31 07:00:00,,,Complete,Complete,,Executed,active,,,,
HEARTLAND 1,1379,2017-04-26 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,156.04,72.27,,150,Energy Only,,Off-Peak Deliverability,,FRESNO,CA,PGAE,Fresno,Tranquility 230 kV,2021-09-01 07:00:00,2028-06-30 07:00:00,,,Complete,Complete,,Executed,active,,,,
HEARTLAND 2,1380,2017-04-26 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,156.05,72.2932,,150,Energy Only,,Off-Peak Deliverability,,FRESNO,CA,PGAE,Fresno,Tranquility 230 kV,2021-09-01 07:00:00,2028-06-30 07:00:00,,,Complete,Complete,,Executed,active,,,,
LAS CAMAS 1,1382,2017-04-29 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,102.5,100,,100,Partial Capacity,65,Off-Peak Energy Only,Group D,MERCED,CA,PGAE,Fresno,Los Banos 230 kV,2021-11-30 08:00:00,2027-12-31 08:00:00,,,Complete,Complete,,Executed,active,,,,
REDUX SOLAR,1389,2017-05-01 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,128.24,61.25,,125,Full Capacity,,Off-Peak Deliverability,Group 2b,FRESNO,CA,PGAE,Fresno,Gates 230 kV,2020-12-30 08:00:00,2026-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
SONRISA,1391,2017-04-29 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,200,184,,200,Partial Capacity,92,Off-Peak Deliverability,Group 1,FRESNO,CA,PGAE,Fresno,Tranquility 230 kV,2021-11-30 08:00:00,2026-12-31 08:00:00,,,Complete,Complete,,Executed,active,,,,
DRIFTWOOD STELLA,1394,2017-04-29 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,200,200,,200,Energy Only,,Off-Peak Deliverability,Group D,KERN,CA,PGAE,Kern,Midway 115 kV,2021-11-30 08:00:00,2026-11-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
SANDRINI SOL 1,1397,2017-04-29 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,100,92,,100,Partial Capacity,92,Off-Peak Deliverability,Group 2,KERN,CA,PGAE,Kern,Wheeler Ridge 70 kV,2021-11-30 08:00:00,2025-12-31 08:00:00,,,Complete,Complete,,Executed,active,,,,
ATLAS COMPLEX,1402,2017-04-28 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Storage,Photovoltaic,,Battery,Solar,,2107.4,2250,,3200,Partial Capacity,66,Off-Peak Deliverability,Group A,LA PAZ,AZ,DCRT,Eastern,Delaney-Colorado River 500 kV Line,2020-12-31 08:00:00,2026-01-01 08:00:00,,,Complete,Complete,,Executed,active,,,,
ATHOS POWER PLANT,1405,2017-04-28 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,458,450,,450,Full Capacity,,Off-Peak Deliverability,Group A,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 230kV,2020-12-31 08:00:00,2027-05-17 07:00:00,,,Complete,Complete,,Executed,active,,,,
BALDY MESA,1413,2017-04-29 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Storage,Photovoltaic,,Battery,Solar,,75,150,,100,Partial Capacity,94,Off-Peak Deliverability,Group 2,SAN BERNARDINO,CA,SCE,NOL,Roadway Substation 115kV bus,2020-12-31 08:00:00,2026-11-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
CAMINO SOLAR,1419,2017-04-27 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,44.88,13.4,,54.28,Full Capacity,,Off-Peak Deliverability,Group 2,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,2020-08-15 07:00:00,2027-12-31 08:00:00,,,Complete,Complete,,Executed,active,,,,
MOUNT LAGUNA WIND 2,1429,2017-04-28 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Wind Turbine,,,Wind Turbine,,,400,,,400,Energy Only,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,SDGE,Suncrest - Ocotillo 500 kV Line,2020-06-01 07:00:00,2031-02-05 08:00:00,,,Complete,Complete,,Executed,active,,,,
STARLIGHT SOLAR,1432,2017-05-01 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,20,17.4,,20,Partial Capacity,87,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,Boulevard East Substation 69 kV,2020-06-01 07:00:00,2027-04-30 07:00:00,,,Complete,Complete,,Executed,active,,,,
IRONWOOD SOLAR,1435,2017-04-24 00:00:00,2017-05-01 07:00:00,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,250,250,,250,Energy Only,,Off-Peak Deliverability,,YUMA,AZ,SDGE,SDGE,Hoodoo Wash Switchyard 500 kV,2020-12-31 08:00:00,2026-03-06 08:00:00,,,Complete,Complete,,Executed,active,,,,
AJO POWER BANK,1442,2018-04-05 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,,,Battery,,,124.3,,,120,Full Capacity,,,,SANTA CLARA,CA,PGAE,Northern,Llagas-Gilroy Foods 115 kV line,2020-12-01 08:00:00,2028-01-01 08:00:00,,,Complete,Complete,,Executed,active,,,,
ANGELA,1443,2018-04-13 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,40,20,,40,Partial Capacity,65,Off-Peak Deliverability,Group 2a,TULARE,CA,PGAE,Kern,Olive 115 kV,2021-11-30 08:00:00,2025-12-15 08:00:00,,,Complete,Complete,,Executed,active,,,,
SALOON ENERGY STORAGE,1444,2018-04-04 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,,,Battery,,,150,,,150,Partial Capacity,54,Off-Peak Deliverability,Group 2,COLUSA,CA,PGAE,Northern,Cortina 115 kV,2022-12-01 08:00:00,2027-07-13 07:00:00,,,Complete,Complete,,Executed,active,,,,
HUMMINGBIRD ENERGY STORAGE,1454,2018-04-09 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,,,Battery,,,75,,,75,Full Capacity,,,Group 1a,SANTA CLARA,CA,PGAE,Northern,Metcalf 115 kV,2020-12-31 08:00:00,2025-09-25 07:00:00,,,Complete,Complete,,Executed,active,,,,
JANUS,1455,2018-04-12 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,Photovoltaic,,Battery,Solar,,80,83.54,,80,Full Capacity,,Off-Peak Deliverability,Group 3,COLUSA,CA,PGAE,Northern,Cortina 60 kV,2021-12-31 08:00:00,2026-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
LAS CAMAS 3,1456,2018-04-10 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,102.5,100,,100,Partial Capacity,65,Off-Peak Energy Only,Group D,MERCED,CA,PGAE,Fresno,Los Banos 230 kV,2022-11-30 08:00:00,2027-12-31 08:00:00,,,Complete,Complete,,Executed,active,,,,
MILPA POWER BANK,1457,2018-04-09 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,,,Battery,,,3,,,3,Full Capacity,,,Group 3,SANTA CLARA,CA,PGAE,Northern,Los Esteros 115 kV,2020-12-01 08:00:00,2025-04-29 07:00:00,,,Complete,Complete,,,active,,,,
MULQUEENEY RANCH WIND 2,1459,2018-04-12 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Wind Turbine,,,Wind Turbine,,,62.5,,,60,Full Capacity,,Off-Peak Deliverability,Group 2b,ALAMEDA,CA,PGAE,Northern,Tesla 230 kV,2021-12-15 08:00:00,2026-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
RECLAIMED WIND,1461,2018-04-04 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,,,Battery,,,114.4,,,90.7,Full Capacity,,Off-Peak Deliverability,Group A,ALAMEDA,CA,PGAE,Northern,Kelso-Tesla Tap 230 kV,2020-12-31 08:00:00,2026-12-01 08:00:00,,,Complete,Complete,,Executed,active,,,,
SOLANO 4 WIND,1463,2018-04-04 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Wind Turbine,,,Wind Turbine,,,92.354,,,90.8,Full Capacity,,Off-Peak Deliverability,Group 1,SOLANO,CA,PGAE,Northern,Birds Landing 230 kV,2023-03-31 07:00:00,2025-05-31 07:00:00,,,Complete,Complete,,Executed,active,,,,
KEY STORAGE 1,1479,2018-04-11 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,,,Battery,,,309.3,,,300.1,Full Capacity,,,Group 3,FRESNO,CA,PGAE,Fresno,Gates 500 kV,2022-12-01 08:00:00,2026-10-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
AZALEA,1493,2018-04-16 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,61.3,38,,60,Partial Capacity,70,Off-Peak Deliverability,Group 2,KERN,CA,PGAE,Kern,Arco 70 kV ,2022-11-01 07:00:00,2025-09-12 07:00:00,,,Complete,Complete,,Executed,active,,,,
CHALAN SOLAR,1495,2018-04-13 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,Photovoltaic,,Battery,Solar,,25.2,66.6,,64.9,Full Capacity,,Off-Peak Deliverability,Group 1a,KERN,CA,PGAE,Kern,Arco 230 kV,2021-12-01 08:00:00,2026-04-12 07:00:00,,,Complete,Complete,,Executed,active,,,,
DESCENDANT RANCH 1,1496,2018-04-11 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,Photovoltaic,,Battery,Solar,,510,513.5,,500,Energy Only,,Off-Peak Deliverability,Group 1b,COLUSA,CA,PGAE,Northern,Delevan 230 kV,2023-12-01 08:00:00,2034-02-27 08:00:00,,,Complete,Complete,,Executed,active,,,,
JASMINE,1499,2018-04-16 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,71.161,70,,70,Partial Capacity,92,Off-Peak Deliverability,Group 3,KERN,CA,PGAE,Kern,Lakeview 70 kV,2022-11-01 07:00:00,2026-08-31 07:00:00,,,Complete,Complete,,Executed,active,,,,
PROSPECT ENERGY STORAGE,1507,2018-04-16 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,,,Battery,,,58.75,,,49.9,Full Capacity,,,Group 1,SACRAMENTO,CA,PGAE,Northern,Gold Hill 60 kV,2022-06-01 07:00:00,2028-06-01 07:00:00,Suspended,,Complete,Complete,,Executed,active,,,,
BELLEFIELD SOLAR FARM,1510,2018-04-16 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,500,500,,500,Full Capacity,,Off-Peak Deliverability,Group 3,KERN,CA,SCE,Northern,Windhub Substation 230kV,2022-10-01 07:00:00,2025-08-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
SANBORN SOLAR 2,1518,2018-04-13 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,334,372.5,,500,Full Capacity,,Off-Peak Deliverability,Group 1,KERN,CA,SCE,Northern,Windhub Substation 230kV,2022-12-31 08:00:00,2025-10-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
BALDY MESA 2,1519,2018-04-15 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,50,75,,100,Partial Capacity,94,Off-Peak Deliverability,Group 2,SAN BERNARDINO,CA,SCE,NOL,Roadway Substation 115kV,2021-12-15 08:00:00,2026-11-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
ARIDA SOLAR FARM,1522,2018-04-16 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,Photovoltaic,,Battery,Solar,,370,370,,370,Full Capacity,,Off-Peak Deliverability,Group 3,CLARK,NV,SCE,EOP,Mohave Substation 500kV,2022-10-01 07:00:00,2027-09-15 07:00:00,,,Complete,Complete,,,active,,,,
CENTENNIAL FLATS,1529,2018-04-17 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,500,267,,500,Partial Capacity,83.46,Off-Peak Deliverability,Group 3,LA PAZ,AZ,DCRT,Eastern,Delaney-Colorado River 500 kV Line,2022-12-15 08:00:00,2026-04-15 07:00:00,,,Complete,Complete,,Executed,active,,,,
KETTLE SOLAR ONE,1532,2018-04-16 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,90,90,,90,Full Capacity,,Off-Peak Deliverability,Group 2,SAN DIEGO,CA,SDGE,SDGE,Carrizo Gorge Switchyard 138 kV,2020-12-01 08:00:00,2026-10-31 07:00:00,,,Complete,Complete,,Executed,active,,,,
VULCAN,1534,2018-04-11 00:00:00,2018-04-16 07:00:00,ACTIVE,C11,Storage,Photovoltaic,,Battery,Solar,,250,250,,250,Energy Only,,Off-Peak Deliverability,Group B,MARICOPA,AZ,SDGE,SDGE,Hassayampa Common Bus 500 kV,2021-05-01 07:00:00,2027-12-31 08:00:00,,,Complete,Complete,,,active,,,,
IRVING STORAGE,1539,2019-03-05 00:00:00,2019-05-07 07:00:00,ACTIVE,ISP,Storage,,,Battery,,,782.79,,,750,Full Capacity,,,Other,MONTEREY,CA,PGAE,Northern,Moss Landing 500 kV,2022-12-01 08:00:00,2025-11-30 08:00:00,,,Complete,Complete,,Executed,active,,,,
TANAGER STORAGE,1550,2019-04-02 00:00:00,2019-04-15 07:00:00,ACTIVE,C12,Storage,,,Battery,,,200,,,200,Full Capacity,,,Group 2,SANTA CLARA,CA,PGAE,Northern,Los Esteros 230 kV,2023-06-30 07:00:00,2027-12-15 08:00:00,,,Complete,Complete,,Executed,active,,,,
